,Id2,Id,name,totalPop,under5yr,under18yr,over65yr
252,8015,0500000US08015,"Chaffee County, Colorado",20027,746,3009,5084
253,8017,0500000US08017,"Cheyenne County, Colorado",1876,131,477,385
254,8019,0500000US08019,"Clear Creek County, Colorado",9605,374,1448,1953
255,8021,0500000US08021,"Conejos County, Colorado",8200,533,2126,1582
256,8023,0500000US08023,"Costilla County, Colorado",3828,173,724,1045
257,8025,0500000US08025,"Crowley County, Colorado",5858,147,687,803
258,8027,0500000US08027,"Custer County, Colorado",4954,163,685,1594
259,8029,0500000US08029,"Delta County, Colorado",30953,1507,6197,8024
260,8031,0500000US08031,"Denver County, Colorado",716492,42921,139926,84216
261,8033,0500000US08033,"Dolores County, Colorado",2074,73,415,520
262,8035,0500000US08035,"Douglas County, Colorado",342776,20097,88978,40935
263,8037,0500000US08037,"Eagle County, Colorado",54993,3058,11988,6356
264,8039,0500000US08039,"Elbert County, Colorado",26282,1229,5718,4311
265,8041,0500000US08041,"El Paso County, Colorado",713856,48160,172064,91063
266,8043,0500000US08043,"Fremont County, Colorado",48021,2048,7839,10402
267,8045,0500000US08045,"Garfield County, Colorado",59770,4102,15072,7858
268,8047,0500000US08047,"Gilpin County, Colorado",6121,229,952,1035
269,8049,0500000US08049,"Grand County, Colorado",15525,632,2609,2732
270,8051,0500000US08051,"Gunnison County, Colorado",17246,742,2931,2236
271,8053,0500000US08053,"Hinsdale County, Colorado",811,32,126,246
272,8055,0500000US08055,"Huerfano County, Colorado",6889,255,1122,2148
273,8057,0500000US08057,"Jackson County, Colorado",1399,69,239,311
274,8059,0500000US08059,"Jefferson County, Colorado",580233,30223,114515,95477
275,8061,0500000US08061,"Kiowa County, Colorado",1383,109,309,324
276,8063,0500000US08063,"Kit Carson County, Colorado",7163,461,1820,1385
277,8065,0500000US08065,"Lake County, Colorado",7824,416,1561,1117
278,8067,0500000US08067,"La Plata County, Colorado",56310,2854,10684,9668
279,8069,0500000US08069,"Larimer County, Colorado",350518,17762,68703,54938
280,8071,0500000US08071,"Las Animas County, Colorado",14503,682,2727,3529
281,8073,0500000US08073,"Lincoln County, Colorado",5610,303,1132,985
282,8075,0500000US08075,"Logan County, Colorado",21528,1143,3995,3824
283,8077,0500000US08077,"Mesa County, Colorado",153207,8659,33045,29238
284,8079,0500000US08079,"Mineral County, Colorado",776,33,115,242
285,8081,0500000US08081,"Moffat County, Colorado",13188,939,3418,2020
286,8083,0500000US08083,"Montezuma County, Colorado",26158,1463,5756,5785
287,8085,0500000US08085,"Montrose County, Colorado",42214,2368,9120,9836
288,8087,0500000US08087,"Morgan County, Colorado",28558,2113,7424,4422
289,8089,0500000US08089,"Otero County, Colorado",18432,1113,4410,3766
290,8091,0500000US08091,"Ouray County, Colorado",4833,142,742,1314
291,8093,0500000US08093,"Park County, Colorado",18556,667,2810,3793
292,8095,0500000US08095,"Phillips County, Colorado",4286,288,1056,966
293,8097,0500000US08097,"Pitkin County, Colorado",17950,700,2704,3482
294,8099,0500000US08099,"Prowers County, Colorado",12164,869,3138,2143
295,8101,0500000US08101,"Pueblo County, Colorado",167529,9748,37623,30988
296,8103,0500000US08103,"Rio Blanco County, Colorado",6336,373,1506,985
297,8105,0500000US08105,"Rio Grande County, Colorado",11250,659,2550,2276
298,8107,0500000US08107,"Routt County, Colorado",25733,1166,4658,3974
299,8109,0500000US08109,"Saguache County, Colorado",6843,398,1465,1572
300,8111,0500000US08111,"San Juan County, Colorado",762,28,96,178
301,8113,0500000US08113,"San Miguel County, Colorado",8191,326,1438,1201
302,8115,0500000US08115,"Sedgwick County, Colorado",2303,120,469,604
303,8117,0500000US08117,"Summit County, Colorado",31007,1404,5038,4235
304,8119,0500000US08119,"Teller County, Colorado",25083,994,4255,5505
305,8121,0500000US08121,"Washington County, Colorado",4909,291,1110,1016
306,8123,0500000US08123,"Weld County, Colorado",314305,22837,82497,38224
307,8125,0500000US08125,"Yuma County, Colorado",10020,745,2709,1851
308,9001,0500000US09001,"Fairfield County, Connecticut",943823,51672,212038,149918
309,9003,0500000US09003,"Hartford County, Connecticut",892697,47866,187304,152874
310,9005,0500000US09005,"Litchfield County, Connecticut",181111,7493,32933,38502
311,9007,0500000US09007,"Middlesex County, Connecticut",162682,6729,28777,33067
312,9009,0500000US09009,"New Haven County, Connecticut",857620,44160,173046,148886
313,9011,0500000US09011,"New London County, Connecticut",266784,13233,51733,48611
314,9013,0500000US09013,"Tolland County, Connecticut",150921,6245,26160,23845
315,9015,0500000US09015,"Windham County, Connecticut",117027,5736,23202,19418
316,10001,0500000US10001,"Kent County, Delaware",178550,11170,40805,30483
317,10003,0500000US10003,"New Castle County, Delaware",559335,32142,120227,87028
318,10005,0500000US10005,"Sussex County, Delaware",229286,11499,42584,63575
319,11001,0500000US11001,"District of Columbia, District of Columbia",702455,45617,127494,85303
320,12001,0500000US12001,"Alachua County, Florida",269956,14113,48541,37836
321,12003,0500000US12003,"Baker County, Florida",28355,1778,6715,4015
322,12005,0500000US12005,"Bay County, Florida",185287,11333,39761,31678
323,12007,0500000US12007,"Bradford County, Florida",27732,1494,5436,4935
324,12009,0500000US12009,"Brevard County, Florida",596849,27825,108913,141345
325,12011,0500000US12011,"Broward County, Florida",1951260,113117,412789,324313
326,12013,0500000US12013,"Calhoun County, Florida",14587,715,2924,2631
327,12015,0500000US12015,"Charlotte County, Florida",184998,5536,22067,74394
328,12017,0500000US12017,"Citrus County, Florida",147929,5633,22036,53705
329,12019,0500000US12019,"Clay County, Florida",216072,11957,50209,34104
330,12021,0500000US12021,"Collier County, Florida",378488,16634,64794,121935
331,12023,0500000US12023,"Columbia County, Florida",70503,4191,15312,13314
332,12027,0500000US12027,"DeSoto County, Florida",37489,1885,7099,8317
333,12029,0500000US12029,"Dixie County, Florida",16700,771,3035,3949
334,12031,0500000US12031,"Duval County, Florida",950181,64303,214676,133483
335,12033,0500000US12033,"Escambia County, Florida",315534,19025,65784,53148
336,12035,0500000US12035,"Flagler County, Florida",112067,4369,18884,34428
337,12037,0500000US12037,"Franklin County, Florida",11736,531,1888,2814
338,12039,0500000US12039,"Gadsden County, Florida",45894,2747,10097,8197
339,12041,0500000US12041,"Gilchrist County, Florida",18256,1037,3703,3741
340,12043,0500000US12043,"Glades County, Florida",13724,427,2080,3744
341,12045,0500000US12045,"Gulf County, Florida",16164,647,2500,3487
342,12047,0500000US12047,"Hamilton County, Florida",14310,781,2707,2575
343,12049,0500000US12049,"Hardee County, Florida",27245,1879,7141,4532
344,12051,0500000US12051,"Hendry County, Florida",41556,3072,10964,5712
345,12053,0500000US12053,"Hernando County, Florida",190865,8695,34957,52412
346,12055,0500000US12055,"Highlands County, Florida",105424,4810,17970,37222
347,12057,0500000US12057,"Hillsborough County, Florida",1436888,89013,323986,205315
348,12059,0500000US12059,"Holmes County, Florida",19477,1072,3938,3871
349,12061,0500000US12061,"Indian River County, Florida",157413,6403,25219,52019
350,12063,0500000US12063,"Jackson County, Florida",48305,2436,8961,9424
351,12065,0500000US12065,"Jefferson County, Florida",14288,638,2431,3362
352,12067,0500000US12067,"Lafayette County, Florida",8732,371,1771,1401
353,12069,0500000US12069,"Lake County, Florida",356495,17502,68268,95109
354,12071,0500000US12071,"Lee County, Florida",754610,34544,132623,215894
355,12073,0500000US12073,"Leon County, Florida",292502,15155,54472,39155
356,12075,0500000US12075,"Levy County, Florida",40770,2069,7956,10103
357,12077,0500000US12077,"Liberty County, Florida",8457,396,1512,1229
358,12079,0500000US12079,"Madison County, Florida",18529,940,3492,3798
359,12081,0500000US12081,"Manatee County, Florida",394855,18437,72121,108173
360,12083,0500000US12083,"Marion County, Florida",359977,17802,66922,104178
361,12085,0500000US12085,"Martin County, Florida",160912,6622,26388,49690
362,12086,0500000US12086,"Miami-Dade County, Florida",2761581,159444,558250,448112
363,12087,0500000US12087,"Monroe County, Florida",75027,3467,11361,17266
364,12089,0500000US12089,"Nassau County, Florida",85832,4365,16943,19042
365,12091,0500000US12091,"Okaloosa County, Florida",207269,13607,46083,33189
366,12093,0500000US12093,"Okeechobee County, Florida",41537,2503,8844,8218
367,12095,0500000US12095,"Orange County, Florida",1380645,84175,305917,164820
368,12097,0500000US12097,"Osceola County, Florida",367990,22984,89835,48605
369,12099,0500000US12099,"Palm Beach County, Florida",1485941,75576,283456,355266
370,12101,0500000US12101,"Pasco County, Florida",539630,28068,109651,122105
371,12103,0500000US12103,"Pinellas County, Florida",975280,42298,157672,241641
372,12105,0500000US12105,"Polk County, Florida",708009,40901,156487,143142
373,12107,0500000US12107,"Putnam County, Florida",74163,4313,15875,17204
374,12109,0500000US12109,"St. Johns County, Florida",254261,12573,55165,51480
375,12111,0500000US12111,"St. Lucie County, Florida",321128,16190,63294,77503
376,12113,0500000US12113,"Santa Rosa County, Florida",179349,10122,39352,28645
377,12115,0500000US12115,"Sarasota County, Florida",426718,15073,60616,156509
378,12117,0500000US12117,"Seminole County, Florida",467832,24795,98309,72533
379,12119,0500000US12119,"Sumter County, Florida",128754,2523,9102,74146
380,12121,0500000US12121,"Suwannee County, Florida",44191,2383,9409,9442
381,12123,0500000US12123,"Taylor County, Florida",21623,1228,4357,4420
382,12125,0500000US12125,"Union County, Florida",14940,785,2902,2237
383,12127,0500000US12127,"Volusia County, Florida",547538,25929,96836,133733
384,12129,0500000US12129,"Wakulla County, Florida",32461,1803,6945,5086
385,12131,0500000US12131,"Walton County, Florida",71375,4098,14423,14677
386,12133,0500000US12133,"Washington County, Florida",24880,1275,4955,4363
387,13001,0500000US13001,"Appling County, Georgia",18507,1255,4574,3189
388,13003,0500000US13003,"Atkinson County, Georgia",8297,598,2183,1167
389,13005,0500000US13005,"Bacon County, Georgia",11185,732,2850,1794
